TweetID,Text
1,This is a tweet with #innovation and #tech.
2,This is a tweet with #cloud and #innovation.
3,This is a tweet with #AI and #tech.
4,This is a tweet with #AI and #tech.
5,This is a tweet with #cloud and #innovation.
6,This is a tweet with #data and #AI.
7,This is a tweet with #tech and #data.
8,This is a tweet with #innovation and #AI.
9,INVALID
10,This is a tweet with #tech and #innovation.
11,This is a tweet with #innovation and #AI.
12,This is a tweet with #AI and #AI.
13,This is a tweet with #cloud and #AI.
14,This is a tweet with #innovation and #data.
15,This is a tweet with #cloud and #data.
16,This is a tweet with #tech and #innovation.
17,This is a tweet with #tech and #AI.
18,This is a tweet with #cloud and #tech.
19,This is a tweet with #AI and #data.
20,This is a tweet with #tech and #data.
21,This is a tweet with #tech and #cloud.
22,This is a tweet with #innovation and #tech.
23,This is a tweet with #data and #tech.
24,This is a tweet with #innovation and #cloud.
25,This is a tweet with #cloud and #tech.
26,This is a tweet with #data and #innovation.
27,This is a tweet with #data and #innovation.
28,This is a tweet with #tech and #tech.
29,This is a tweet with #cloud and #innovation.
30,This is a tweet with #tech and #cloud.
31,
32,This is a tweet with #tech and #data.
33,This is a tweet with #tech and #cloud.
34,This is a tweet with #tech and #tech.
35,This is a tweet with #innovation and #AI.
36,This is a tweet with #innovation and #data.
37,This is a tweet with #cloud and #innovation.
38,INVALID
39,This is a tweet with #tech and #tech.
40,This is a tweet with #innovation and #tech.
41,This is a tweet with #data and #tech.
42,This is a tweet with #tech and #AI.
43,This is a tweet with #data and #innovation.
44,This is a tweet with #AI and #cloud.
45,This is a tweet with #innovation and #cloud.
46,This is a tweet with #AI and #cloud.
47,
48,
49,
50,
